               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.044578,           0.0076972,           0.0049366,              0.8008,             0.56458,              0.6849,             0.31816,            0.054178,           0.0032588,           0.0037181,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04599,           0.0069618,           0.0049998,             0.84592,             0.49986,             0.71928,             0.28477,            0.046648,           0.0035327,           0.0037729,           0.0087724,           0.0087724,           0.0087724
                  64,            0.047145,           0.0073091,           0.0043891,             0.67974,             0.54584,             0.71282,              0.4342,            0.040785,           0.0035633,           0.0037123,           0.0087526,           0.0087526,           0.0087526
                  65,            0.043955,           0.0068208,           0.0043312,             0.76227,             0.56197,             0.71708,             0.34817,            0.048693,            0.003358,           0.0035756,           0.0087328,           0.0087328,           0.0087328
                  66,            0.046455,           0.0069453,           0.0048818,             0.51494,             0.73074,             0.71861,             0.37802,             0.04456,           0.0033605,           0.0035582,            0.008713,            0.008713,            0.008713
                  67,            0.044624,           0.0063002,            0.006362,             0.68021,             0.71979,             0.79132,             0.45563,            0.038267,           0.0034142,            0.003663,           0.0086932,           0.0086932,           0.0086932
                  68,            0.042815,           0.0069342,           0.0059325,             0.71813,             0.68193,               0.809,             0.52598,            0.045254,           0.0032485,           0.0036583,           0.0086734,           0.0086734,           0.0086734
                  69,            0.042788,            0.006503,            0.004195,             0.74871,             0.80645,             0.82745,             0.50802,            0.043547,           0.0032026,           0.0037755,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043999,           0.0062574,           0.0048097,             0.82329,             0.75836,             0.84205,             0.49128,            0.040587,            0.003233,           0.0037268,           0.0086338,           0.0086338,           0.0086338
                  71,             0.04086,           0.0066902,           0.0043245,             0.70393,             0.75806,             0.78517,             0.48059,            0.044811,           0.0030574,           0.0035847,            0.008614,            0.008614,            0.008614
                  72,            0.046671,           0.0070343,           0.0077441,             0.64119,             0.70968,             0.77428,             0.44159,            0.041848,           0.0031043,           0.0035194,           0.0085942,           0.0085942,           0.0085942
                  73,             0.04222,           0.0066991,           0.0050991,             0.73979,             0.75264,             0.82095,             0.46871,            0.039098,           0.0030013,           0.0035053,           0.0085744,           0.0085744,           0.0085744
                  74,            0.042474,           0.0058377,           0.0039791,             0.81302,             0.77419,             0.85119,             0.49571,            0.039731,           0.0029931,           0.0035344,           0.0085546,           0.0085546,           0.0085546
                  75,            0.043626,           0.0061349,           0.0046307,             0.67539,             0.77419,             0.82003,             0.49876,            0.039441,           0.0030445,           0.0036729,           0.0085348,           0.0085348,           0.0085348
                  76,            0.045421,           0.0062274,           0.0041174,             0.77235,             0.77419,             0.82878,             0.47782,            0.044966,           0.0029321,            0.003769,            0.008515,            0.008515,            0.008515
                  77,            0.046207,           0.0069032,           0.0042399,             0.83388,             0.77799,             0.85764,             0.44791,             0.04241,           0.0029886,            0.003847,           0.0084952,           0.0084952,           0.0084952
                  78,            0.041293,           0.0063583,           0.0043511,             0.92008,             0.81342,             0.89581,             0.45903,            0.042039,           0.0030152,           0.0039523,           0.0084754,           0.0084754,           0.0084754
                  79,            0.044748,           0.0067336,           0.0045262,             0.89553,             0.75382,             0.91607,             0.56445,            0.036944,           0.0030851,           0.0037075,           0.0084556,           0.0084556,           0.0084556
                  80,            0.044295,           0.0053656,           0.0042335,             0.92453,             0.73912,             0.89484,             0.50822,            0.040923,            0.002933,           0.0036204,           0.0084358,           0.0084358,           0.0084358
